,secteur,pct_nan,valide,utilisé
KLAC,Tech,0.0,True,False
LRCX,Tech,0.0,True,False
SNPS,Tech,0.0,True,False
CDNS,Tech,0.0,True,False
PANW,Tech,0.0,True,False
MRVL,Tech,0.0,True,False
NXPI,Tech,0.0,True,False
IDXX,Santé,0.0,True,True
ALNY,Santé,0.0,True,False
INCY,Santé,0.0,True,False
HOLX,Santé,0.0,True,False
EXAS,Santé,0.0,True,False
BMRN,Santé,0.0,True,False
LULU,Conso,0.0,True,False
ROST,Conso,0.0,True,False
EBAY,Conso,0.0,True,False
ORLY,Conso,0.0,True,False
DLTR,Conso,0.0,True,False
ADSK,Finance,0.0,True,False
WDAY,Finance,0.0,True,False
VEEV,Finance,0.0,True,False
CTSH,Finance,0.0,True,False
VRSK,Industrie,0.0,True,False
EXPD,Industrie,0.0,True,False
CSGP,Industrie,0.0,True,False
POOL,Industrie,0.0,True,False
CCOI,Télécom,0.0,True,False
IRDM,Télécom,0.0,True,False
SIRI,Télécom,0.0,True,False
EVRG,Utilities,0.0,True,False
NWE,Utilities,0.0,True,False
MSEX,Utilities,0.0,True,False
MTDR,Énergie,0.0,True,True
RRC,Énergie,0.0,True,True
AR,Énergie,0.0,True,False
