Date,KLAC,LRCX,SNPS,CDNS,PANW,MRVL,NXPI,IDXX,ALNY,INCY,HOLX,EXAS,BMRN,LULU,ROST,EBAY,ORLY,DLTR,MS,BX,MCO,MSCI,VRSK,EXPD,CSGP,POOL,CCOI,IRDM,SIRI,EVRG,NWE,MSEX,MTDR,RRC,AR
2018-01-02,1689000,20373000,984400,1935300,4578000,5619900,1784200,398500,440400,1830100,2533922,2066506,1299000,2474400,2107900,6997300,21352500,1412100,6644600,5241100,571600,562700,653900,1104900,2264000,239200,419700,528400,3056810,714300,619800,65700,1113500,8548500,2398600
2018-01-03,2734100,25833000,877200,2144800,4934400,9014000,2873200,404300,709300,1458500,1864591,1998718,1136400,1745400,2942000,9134400,20370000,1519800,6955500,6720800,1007600,437200,760200,845800,2802000,183100,196800,436400,2896450,782900,331000,43600,994500,11343100,3029300
2018-01-04,1925500,22272000,1059900,3178400,6803400,9221200,2153500,519800,777100,1445300,2407747,1275991,1876300,1669600,2313200,8958600,13383000,1825500,8678800,3939300,778200,461900,960300,1216600,2057000,173700,261500,581700,2700200,704100,440500,52500,957700,9625100,2206900
2018-01-05,1469000,17130000,905200,2215200,8448000,5855400,1631700,515300,718700,1422600,1827403,1467744,789300,1592900,2224500,7290400,9622500,2055500,6476000,3525900,1275200,395800,882100,948800,1422000,114500,284700,480100,1729000,622500,195400,74600,1106300,8272500,2210300
2018-01-08,772700,27627000,1010100,2005700,6874800,5529500,1258000,449200,1129800,1531400,2770143,7705594,1434200,3042500,3318300,9714200,9621000,1801700,6681400,3231200,566200,216900,791600,1084900,1435000,161600,251800,432900,1632840,494500,329400,71400,1189900,8164700,2264400
2018-01-09,866900,29550000,776900,1693200,7290000,9580000,1408600,397400,754900,2639900,2861998,5028372,1485000,1482100,1676300,6215900,7966500,1584400,6622700,5443200,626200,319600,566900,1080800,1373000,109100,159200,469100,1941030,693800,439100,83300,1122700,7044500,2109100
2018-01-10,1439500,35108000,687200,1367300,5751000,9401900,1868300,503200,695500,1347900,4427109,2532506,1431700,1141500,3348600,17416500,10548000,1048700,11028800,11147700,627000,242000,437500,1014100,907000,130300,202100,499700,5459510,533500,367000,53700,902700,5577700,1726500
2018-01-11,1000900,28164000,696200,1172800,5176800,5198600,2576800,526300,565200,3251200,2975971,1759350,1267500,913000,2252100,11090500,12208500,2063100,8310000,6183400,521800,480800,357900,1123200,1153000,249100,128500,421700,2497330,557700,270300,45600,1606400,7367300,2960600
2018-01-12,990600,27881000,616100,1204400,7742400,18423600,2027200,632900,796500,1572400,3060034,6363021,874400,1223400,2202600,11992900,18714000,2400000,8998000,10429400,564900,461300,734500,585000,2394000,111500,161800,768000,1577950,740700,288800,152300,1643800,6656100,2456200
2018-01-16,1492700,42511000,940100,2219300,6830400,11257200,2516900,727600,950600,2323800,4073323,2245333,1427400,1525900,2596500,10718800,12664500,2022800,11168500,9418700,588700,265400,967600,1142700,2737000,220200,187400,547500,2069250,590100,1049700,224800,1994600,8756400,4144100
2018-01-17,2047400,64971000,658100,2167800,5734800,7143400,4177600,548100,1147600,2660700,2087071,14214863,1169800,1254100,2950200,12245700,16017000,2230800,11905200,5065100,680800,418800,719800,915500,2017000,128200,174800,485900,1909250,506200,645900,112500,978600,8965100,3065700
2018-01-18,1353100,41988000,958800,1633400,11061000,8558500,3981600,564800,547100,2105000,2134697,4672080,1166900,1130500,2186400,11113500,9888000,1566400,13953900,3402400,780700,331600,764000,691900,6213000,140900,216400,698000,1348630,502900,430000,35900,1073900,5960600,6865100
2018-01-19,988500,26150000,1027400,2147900,6262200,7587400,4837600,602700,883800,1927500,4355482,4780988,984500,1369800,2514500,12724000,11785500,1908200,15124200,5052600,786800,216300,1088600,928500,2797000,209500,286300,417500,2632990,467600,479000,39400,1883000,11213100,4875900
2018-01-22,1097200,28231000,743100,1452800,11277600,3620000,2026200,445000,2003200,2645200,2738656,3228146,2402200,1211600,1853000,10715000,10344000,1784600,16858300,3935200,491100,231800,628700,501600,1518000,349600,229000,723500,2159430,601700,427500,76800,940100,6881900,3745800
2018-01-23,1186200,43397000,572900,1531400,10240800,10855700,2000400,427000,2768300,1414500,1724317,3610411,1379200,822500,1537500,6944800,9000000,2060100,9372200,4987700,518400,221500,922100,1160600,2177000,181700,124300,600600,1849940,694400,439700,50000,1358900,8813200,6715300
2018-01-24,1320600,54649000,711600,1552100,6398400,9443600,1470500,522600,978000,1524100,2628886,2833216,1451000,853700,1752000,10736000,11143500,1728800,8403600,5629000,509000,365500,637400,1165100,2799000,314400,147800,543300,2093510,535900,403700,34900,1220800,8500800,4071500
2018-01-25,1855700,82788000,663000,1571100,6646800,9009500,1526600,396300,1069700,1228500,2209949,4730316,947500,934900,1259000,9070900,12768000,1562600,9463800,5898500,470200,470000,653200,726100,3333000,256200,232700,578700,1885140,492400,391300,57200,784200,33161100,3559800
2018-01-26,2314500,47616000,758200,1529400,4784400,6143000,2357000,373600,526800,1302800,1974642,2748297,856600,773200,1842300,8522600,10548000,1632300,8382200,4276000,838700,351400,1477600,683100,2826000,148700,332300,383200,4259860,516300,356600,64100,832200,9475900,1709200
2018-01-29,1420500,40060000,779700,1965600,6433200,6760200,1376600,412300,909100,1350100,2164245,1951963,1231400,1079200,1785700,6372800,9723000,1806100,7493500,5768300,964200,413400,1033600,621200,3171000,184500,253300,445400,3492330,400700,323400,111600,578300,11859600,4580000
2018-01-30,1541200,37946000,826400,2258100,7567200,4374000,2079900,481400,832300,1373400,3494470,3514346,1304900,642800,2233800,9022900,13764000,1921100,7321200,6107800,778900,538900,1253600,913200,1955000,117000,240100,519800,2555140,648800,349900,134200,960300,19163100,5031700
