ticker,secteur
AAPL,Tech
MSFT,Tech
GOOGL,Tech
META,Tech
NVDA,Tech
ADBE,Tech
CRM,Tech
NFLX,Tech
AMD,Tech
FTNT,Tech
AVGO,Tech
TXN,Tech
QCOM,Tech
AMAT,Tech
MU,Tech
AMGN,Santé
GILD,Santé
REGN,Santé
VRTX,Santé
ISRG,Santé
ILMN,Santé
DXCM,Santé
AMZN,Conso
TSLA,Conso
COST,Conso
PEP,Conso
SBUX,Conso
MDLZ,Conso
MELI,Conso
MNST,Conso
PYPL,Finance
JPM,Finance
SPGI,Finance
BLK,Finance
V,Finance
HON,Industrie
CSX,Industrie
ODFL,Industrie
FAST,Industrie
PAYX,Industrie
CMCSA,Télécom
TMUS,Télécom
CHTR,Télécom
XEL,Utilities
AEP,Utilities
EXC,Utilities
FANG,Énergie
XOM,Énergie
MTDR,Énergie
IDXX,Santé
