Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-01-02,102223600,22483800,31766000,18151900,355616000,2432800,4669200,23370800,44146300,20135700,33135000,4236200,6329600,9819500,37097000,2301100,7905100,621800,1382000,1422500,827232,4840400,53890000,65283000,2509300,4165800,7216000,6516100,4009000,5050000,7296500,2483700,366900,6443500,109669000,3169995,17643900,1587600,8326400,2289300,19494410,2192400,2789200,2443400,3016800,7224506,1548100,1113500,8548500,398500
2018-01-03,118071600,26061400,31318000,16886600,914704000,2561200,3888700,116479000,154066700,29536000,31161000,6918900,6844200,10898900,43376700,3084000,6640000,721300,1604000,1121700,932602,5639600,62176000,67822500,3364400,4224000,7478400,8633800,3369300,5575400,9945400,2365500,443500,7572500,85914000,7015701,23207400,1880400,8122400,2189800,22474114,2610800,2500800,4114900,2235700,6750350,1609900,994500,11343100,404300
2018-01-04,89738400,21912000,26052000,13880900,583268000,2211400,4540200,89209100,109503000,20731400,19067000,5460400,5060100,9462800,52229500,2021100,5074600,650100,1345100,967100,886650,23808000,60442000,149194500,3525800,3147000,5775900,8718800,3608500,3779000,8650000,2696400,389200,12654500,60296000,4977610,17520900,2076600,8360400,1636900,19359435,2384400,1176400,2807000,3392100,6630619,978500,957700,9625100,519800
2018-01-05,94640000,23407100,30250000,13574500,580124000,2376500,3368400,41824000,63808900,24588200,28633000,5254900,5421800,10902200,47381100,2211400,7901100,461100,1940000,1486400,1513010,11872400,70894000,68868000,2819000,2714200,6047700,10811500,4152500,3509400,11822100,2098500,589000,7152000,70332000,2744244,18926400,1057200,6968000,1743900,18147003,3292600,1960500,3728000,2967900,10013224,873300,1106300,8272500,515300
2018-01-08,82271200,22113000,24644000,17994700,881216000,2088000,2933600,33733800,63346000,16582000,20971000,4549400,4266900,12658000,32217400,2356200,5858500,1117800,1987000,1438800,1030056,8920400,85590000,147891000,1961800,5730400,6335800,8140300,3126900,2958400,7963600,2977500,491200,5955000,55802000,3033060,18674100,1644000,9034000,2256600,16207197,3606000,1485700,3837600,5715500,15116925,1428100,1189900,8164700,449200
2018-01-09,86336000,19484300,26808000,12393100,497000000,1804300,3302300,44282300,62560900,21449800,26027000,4747800,7632300,13564900,62982900,3031700,14824100,1207600,1487700,1326400,2789478,11190000,73226000,107199000,2241900,4573600,5233400,5805300,3436500,6946600,9620400,4203300,285800,6906500,61259000,3754711,17587200,1921200,7668000,2850000,18166742,5334400,938900,3006300,4323700,10745349,1290800,1122700,7044500,397400
2018-01-10,95839600,18652200,20734000,10529900,582664000,1664300,3113300,45735000,52561200,19473000,31607000,5737400,6569300,14537200,53348000,2542700,10150400,805800,1701000,973400,1010113,8355200,53720000,64648500,2609500,3363900,8656500,6494700,3823700,5427200,6248600,6130800,658900,5894500,59515000,2836236,19422900,2781000,12402000,1883800,21551373,3597000,1092400,2690000,3978400,6890550,1487700,902700,5577700,503200
2018-01-11,74670800,17808900,22424000,9588600,406032000,1600100,3668100,35371500,38354900,21685600,17726000,3903700,4233100,10694200,39402200,2101300,7872900,627700,950600,1002000,832783,4670400,62500000,99682500,4678600,3685200,5806300,6526500,3493700,3948000,6267500,3824400,311200,6355000,76595000,2578638,16382100,1323000,8438400,2199600,39162848,3149100,1191100,3020900,2794200,10419524,1493300,1606400,7367300,526300
2018-01-12,101672400,24271500,38586000,77551300,359916000,4246000,5749500,29973600,47149300,23770500,19881000,4577800,5007200,9072300,28458500,3111400,6366200,830700,1561100,885500,1003122,4897600,108874000,72376500,3499500,4335500,6989100,7179400,4223500,3685400,6891100,2797200,305300,7310000,81994000,2594357,14232600,1107300,8502000,2017200,20240990,3165200,644600,3422600,6646900,7143470,1030900,1643800,6656100,632900
2018-01-16,118263600,36599700,36462000,36183800,702348000,4595600,5790800,38367200,42686600,32845000,33528000,9251500,24478800,14385000,38174800,3374600,11750200,1003400,1834800,1256800,1171817,4070800,144414000,97114500,2006600,4936500,8040700,8659500,5327800,5714000,9596600,3021900,381600,7371000,135161000,3788585,30164700,2685600,15071600,3478000,20292313,4669900,1112500,4761900,3999900,10847695,1002100,1994600,8756400,727600
